uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,33.8422348499,happy,1,-1.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
3001,abstract,1,35.512387991,happy,2,-1.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
3001,abstract,1,35.6344947815,happy,3,-1.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
3001,abstract,1,39.5859909058,happy,4,-1.0,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0
3001,abstract,1,45.6439979076,happy,5,-1.0,"[0.44041990546140575, 0.0, 0.27870017604516084, 0.4501948327045771, 0.8193660007067622, 0.057678631583971754, 0.2443726488314035, 0.0, 0.0, 0.0, 0.6014088910228002]",0
3001,abstract,1,47.1062939167,happy,6,-1.0,"[0.3398179880327029, 0.18202708834373246, 0.91507312174684, 0.7413623459802767, 0.2629656526638917, 0.23776215339584633, 0.0, 0.43876462233530095, 0.26515221677310125, 0.4634626390855765, 0.6208686196053634]",0
3001,abstract,1,48.0464429855,happy,7,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,48.9865119457,happy,8,-1.0,"[0.4471545640290556, 0.6523369652681114, 0.1965938175935127, 0.22658053395558364, 0.37883352395586406, 0.0, 0.0, 0.0, 0.0, 0.5217965084047759, 0.6443513588395023]",0
3001,abstract,1,59.1177239418,happy,9,-1.0,"[0.44041990546140575, 0.0, 0.27870017604516084, 0.4501948327045771, 0.8193660007067622, 0.057678631583971754, 0.2443726488314035, 0.0, 0.0, 0.0, 0.6014088910228002]",0
3001,abstract,1,59.7448549271,happy,10,-1.0,"[0.3398179880327029, 0.18202708834373246, 0.91507312174684, 0.7413623459802767, 0.2629656526638917, 0.23776215339584633, 0.0, 0.43876462233530095, 0.26515221677310125, 0.4634626390855765, 0.6208686196053634]",0
3001,abstract,1,60.2670128345,happy,11,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,60.6237239838,happy,12,-1.0,"[0.4471545640290556, 0.6523369652681114, 0.1965938175935127, 0.22658053395558364, 0.37883352395586406, 0.0, 0.0, 0.0, 0.0, 0.5217965084047759, 0.6443513588395023]",0
3001,abstract,1,62.7738208771,happy,13,-1.0,"[0.3398179880327029, 0.18202708834373246, 0.91507312174684, 0.7413623459802767, 0.2629656526638917, 0.23776215339584633, 0.0, 0.43876462233530095, 0.26515221677310125, 0.4634626390855765, 0.6208686196053634]",0
3001,abstract,1,63.6087939739,happy,14,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,64.5490098,happy,15,-1.0,"[0.44041990546140575, 0.0, 0.27870017604516084, 0.4501948327045771, 0.8193660007067622, 0.057678631583971754, 0.2443726488314035, 0.0, 0.0, 0.0, 0.6014088910228002]",0
3001,abstract,1,65.8024189472,happy,16,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,67.7869679928,happy,17,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,70.5151548386,happy,18,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,72.4874789715,happy,19,-1.0,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,76.7703728676,happy,20,-1.2,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",0
3001,abstract,1,162.209967852,happy,21,-1.2,"[0.39639185646502023, 0.534125854203418, 0.0, 0.442346632837622, 0.717654987574775, 0.0, 0.0, 0.24535427362948178, 0.09647983919977617, 0.3059984071981988, 0.4122972353685646]",1
3001,abstract,1,165.736584902,surprised,1,-1.2,"[0.44691648331502715, 0.5305627847070871, 0.6540745928815299, 0.7652827062408404, 0.6435477551341914, 0.14990345415112086, 0.0, 0.0, 0.09021177969928833, 0.35767488750759224, 0.9167122438508258]",0
3001,abstract,1,166.387942791,surprised,2,-1.2,"[0.8987388855640088, 0.19552820441065505, 0.2318700458755713, 0.8792096302806184, 0.028451940375189333, 0.07921145258363291, 0.0, 0.0, 0.173723333967331, 0.665285012311298, 0.5724883925782367]",0
3001,abstract,1,167.014211893,surprised,3,-1.2,"[0.4788736828133655, 0.3444503437021327, 0.4396148739562945, 0.5437173396860152, 0.7090122297645185, 0.24845048267359665, 0.018718595028560527, 0.09747202939254654, 0.006759264396388075, 1.0, 0.9107400446060416]",0
3001,abstract,1,167.745418787,surprised,4,-1.2,"[0.8987388855640088, 0.19552820441065505, 0.2318700458755713, 0.8792096302806184, 0.028451940375189333, 0.07921145258363291, 0.0, 0.0, 0.173723333967331, 0.665285012311298, 0.5724883925782367]",0
3001,abstract,1,168.845471859,surprised,5,-1.2,"[0.8987388855640088, 0.19552820441065505, 0.2318700458755713, 0.8792096302806184, 0.028451940375189333, 0.07921145258363291, 0.0, 0.0, 0.173723333967331, 0.665285012311298, 0.5724883925782367]",0
3001,abstract,1,173.385868788,surprised,6,-1.2,"[0.8987388855640088, 0.19552820441065505, 0.2318700458755713, 0.8792096302806184, 0.028451940375189333, 0.07921145258363291, 0.0, 0.0, 0.173723333967331, 0.665285012311298, 0.5724883925782367]",0
3001,abstract,1,174.535049915,surprised,7,-1.4,"[0.8987388855640088, 0.19552820441065505, 0.2318700458755713, 0.8792096302806184, 0.028451940375189333, 0.07921145258363291, 0.0, 0.0, 0.173723333967331, 0.665285012311298, 0.5724883925782367]",0
3001,abstract,1,177.98208189,surprised,8,-1.4,"[1.0, 0.06214189854973787, 0.014190590073064863, 1.0, 0.0, 0.4716487333231456, 0.41000508267648245, 0.0, 0.0, 0.6870796867284141, 0.9358252972357188]",0
3001,abstract,1,178.503607988,surprised,9,-1.4,"[0.5782322320842479, 0.7069448530948099, 0.0016537144300587392, 1.0, 0.0, 0.0, 0.06902640013148147, 0.0, 0.2465283272458813, 1.0, 0.3438813295940891]",0
3001,abstract,1,179.02589798,surprised,10,-1.4,"[1.0, 0.0, 0.6643999336790187, 0.7543940241768877, 0.5053641053536122, 0.7152282869975725, 0.07601333536385695, 0.0, 0.3999360219526748, 0.24034003843104135, 0.44051803820957014]",0
3001,abstract,1,179.86194396,surprised,11,-1.4,"[1.0, 0.0, 0.2054771062285542, 0.9963019634340069, 0.13580914564361085, 0.0, 0.0, 0.0, 0.0719052453052922, 1.0, 0.5894782272228785]",0
3001,abstract,1,181.010528803,surprised,12,-1.4,"[1.0, 0.0, 0.6643999336790187, 0.7543940241768877, 0.5053641053536122, 0.7152282869975725, 0.07601333536385695, 0.0, 0.3999360219526748, 0.24034003843104135, 0.44051803820957014]",0
3001,abstract,1,181.950770855,surprised,13,-1.4,"[1.0, 0.0, 0.6643999336790187, 0.7543940241768877, 0.5053641053536122, 0.7152282869975725, 0.07601333536385695, 0.0, 0.3999360219526748, 0.24034003843104135, 0.44051803820957014]",0
3001,abstract,1,183.413801908,surprised,14,-1.6,"[0.9645690304878582, 0.0, 1.0, 0.8495110585971125, 0.6115314331619534, 0.4999972626580246, 0.0, 0.0, 0.5348666403251012, 0.3393272384904555, 0.8116936559922572]",0
3001,abstract,1,183.831264973,surprised,15,-1.6,"[0.9645690304878582, 0.0, 1.0, 0.8495110585971125, 0.6115314331619534, 0.4999972626580246, 0.0, 0.0, 0.5348666403251012, 0.3393272384904555, 0.8116936559922572]",0
3001,abstract,1,184.979968786,surprised,16,-1.8,"[0.9645690304878582, 0.0, 1.0, 0.8495110585971125, 0.6115314331619534, 0.4999972626580246, 0.0, 0.0, 0.5348666403251012, 0.3393272384904555, 0.8116936559922572]",0
3001,abstract,1,192.918131828,surprised,17,-2.0,"[0.9633292520165894, 0.1343297060603477, 0.7413045800381781, 1.0, 0.6799064513571476, 0.2523251970883872, 0.10741054173611585, 0.0, 0.24001956140057823, 0.40228583900976944, 0.4224233913504342]",0
