uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,vocal,2,377.167485952,happy,1,-1.08,"[1.0, 0.5630671291416182, 0.5848694928720907, 0.16363333524971604, 0.3040154465052245, 0.6080452630405129, 0.9609534664279076, 0.0, 0.0, 0.40963824935755966, 0.5610921367410445, 0.22647767363199278]",0
3001,vocal,2,377.794742823,happy,2,-1.08,"[0.2794446895958914, 0.4803922885142865, 0.5034260028353265, 0.0, 0.28410494400072656, 0.26217681321502145, 0.30687299563034454, 0.0011346323834119992, 0.0, 0.559515679126208, 0.9451630495158525, 0.2002915114483751]",0
3001,vocal,2,455.817640781,happy,3,-1.08,"[0.2338866707286147, 0.0, 0.8271442418472754, 0.0, 0.0, 0.23181248321677195, 0.3508495710788687, 0.30014066120601396, 0.0, 1.0, 0.8894578976401809, 0.33656346485799427]",0
3001,vocal,2,456.758638859,happy,4,-1.08,"[0.33284543748253675, 0.0, 0.6789480899550457, 0.0, 0.0, 0.4571588089292731, 0.5890979660653647, 0.04648813014395056, 0.03266346203050187, 0.6941907236317815, 0.857095267102399, 0.32768259194836025]",0
3001,vocal,2,457.384864807,happy,5,-1.08,"[0.2794446895958914, 0.4803922885142865, 0.5034260028353265, 0.0, 0.28410494400072656, 0.26217681321502145, 0.30687299563034454, 0.0011346323834119992, 0.0, 0.559515679126208, 0.9451630495158525, 0.2002915114483751]",0
3001,vocal,2,469.605699778,happy,6,-1.08,"[0.2794446895958914, 0.4803922885142865, 0.5034260028353265, 0.0, 0.28410494400072656, 0.26217681321502145, 0.30687299563034454, 0.0011346323834119992, 0.0, 0.559515679126208, 0.9451630495158525, 0.2002915114483751]",0
3001,vocal,2,470.545242786,happy,7,-1.2,"[0.4461915328657243, 0.21110260555940602, 0.13046251232021455, 0.0, 0.3620669196123092, 0.37876821256184445, 0.09945196553213248, 0.0, 0.2313713462603639, 0.0, 0.7931291610649884, 0.2422784942629074]",0
3001,vocal,2,471.276582003,happy,8,-1.2,"[0.7787486794672335, 0.9078280024961631, 0.0834083165354988, 0.0, 0.0, 0.6124555333845536, 0.34035882237922965, 0.10042250732640715, 0.0, 0.0, 0.719119584490764, 0.0]",0
3001,vocal,2,471.942979813,happy,9,-1.2,"[0.3225479220698634, 0.1269531849007443, 0.26548707438553565, 0.3939093378045318, 0.07420488557116181, 0.43622498917785274, 0.0, 0.5591082184810101, 0.0, 0.830635685061384, 1.0, 0.740827610380797]",0
3001,vocal,2,472.634507895,happy,10,-1.2,"[0.2346201609522793, 0.5001271491647318, 0.4578738458064238, 0.4959622038190436, 0.06243803627611594, 0.4212945509886358, 0.0, 0.07496638556623844, 0.04279638604669366, 0.11503123941147608, 1.0, 0.0]",0
3001,vocal,2,476.29042697,happy,11,-1.2,"[0.2346201609522793, 0.5001271491647318, 0.4578738458064238, 0.4959622038190436, 0.06243803627611594, 0.4212945509886358, 0.0, 0.07496638556623844, 0.04279638604669366, 0.11503123941147608, 1.0, 0.0]",1
3001,vocal,2,477.857641935,surprised,1,-1.2,"[0.3178714725382213, 0.2288350767488062, 0.6165136497501941, 0.12798038596999628, 0.14026030001204487, 1.0, 0.01114645249507179, 0.0, 0.0, 0.39024396626388735, 0.3929550318980707, 0.1335060397060425]",0
3001,vocal,2,478.483579874,surprised,2,-1.2,"[0.37086050882613897, 0.0, 0.5809982728968002, 0.0, 0.0, 0.641827411105054, 0.561505244359964, 0.08876498186524945, 0.1389881452185842, 0.5447941445117336, 0.49939063219398705, 0.03012042267833487]",0
3001,vocal,2,479.110425949,surprised,3,-1.2,"[0.5431652002354947, 0.16395760262944079, 0.9814150247884488, 0.00675311066844934, 0.08824325704971317, 0.5535059764796111, 0.8662806366257987, 0.27603062802069817, 0.0, 0.8164905017276946, 0.6046082284663132, 0.5587092513804306]",0
3001,vocal,2,480.080186844,surprised,4,-1.2,"[0.49169920151756047, 0.0, 0.6115979386406142, 0.0, 0.0, 0.8031635952740825, 0.7322095735140077, 0.048734164677041156, 0.0, 0.5527345996850077, 0.3342020160242201, 0.19485371880642538]",0
3001,vocal,2,480.947106838,surprised,5,-1.2,"[0.5431652002354947, 0.16395760262944079, 0.9814150247884488, 0.00675311066844934, 0.08824325704971317, 0.5535059764796111, 0.8662806366257987, 0.27603062802069817, 0.0, 0.8164905017276946, 0.6046082284663132, 0.5587092513804306]",0
3001,vocal,2,481.82605195,surprised,6,-1.2,"[0.49169920151756047, 0.0, 0.6115979386406142, 0.0, 0.0, 0.8031635952740825, 0.7322095735140077, 0.048734164677041156, 0.0, 0.5527345996850077, 0.3342020160242201, 0.19485371880642538]",0
3001,vocal,2,482.909393787,surprised,7,-1.2,"[0.49169920151756047, 0.0, 0.6115979386406142, 0.0, 0.0, 0.8031635952740825, 0.7322095735140077, 0.048734164677041156, 0.0, 0.5527345996850077, 0.3342020160242201, 0.19485371880642538]",0
3001,vocal,2,483.915192842,surprised,8,-1.2,"[0.4476136920104565, 0.15622924554220202, 0.0, 0.0, 0.290110647376849, 0.6221911510593263, 0.9485212310478187, 0.07042242675203518, 0.25468279860219684, 0.5250878969327659, 0.46287068247100627, 0.47299522283919454]",0
3001,vocal,2,485.273608923,surprised,9,-1.2,"[0.018027719659465313, 0.0, 0.17212969161896652, 0.0, 0.0, 1.0, 0.25316922082350735, 0.0, 0.4037856994153733, 0.27885862922809385, 0.34195816169663407, 0.3709244029865539]",0
3001,vocal,2,485.899592876,surprised,10,-1.2,"[0.7290295757619951, 0.030500129741417557, 0.8528148145626449, 0.30035671762226446, 0.0, 0.4982233387231605, 0.5875482799896746, 0.0, 0.3987684903029073, 0.46579167559002926, 0.497786233040203, 0.6285865516950506]",0
3001,vocal,2,486.630627871,surprised,11,-1.2,"[0.5289181299849487, 0.7622269309105613, 0.5574595038887614, 0.23214082605065342, 0.3691324964700576, 0.880313519174164, 1.0, 0.217475858455846, 0.0, 0.7187315843041977, 0.007127798325938295, 0.1871460122258961]",0
3001,vocal,2,487.988770008,surprised,12,-1.2,"[0.018027719659465313, 0.0, 0.17212969161896652, 0.0, 0.0, 1.0, 0.25316922082350735, 0.0, 0.4037856994153733, 0.27885862922809385, 0.34195816169663407, 0.3709244029865539]",0
3001,vocal,2,489.139467955,surprised,13,-1.2,"[0.7290295757619951, 0.030500129741417557, 0.8528148145626449, 0.30035671762226446, 0.0, 0.4982233387231605, 0.5875482799896746, 0.0, 0.3987684903029073, 0.46579167559002926, 0.497786233040203, 0.6285865516950506]",0
3001,vocal,2,491.435376883,surprised,14,-1.2,"[0.4476136920104565, 0.15622924554220202, 0.0, 0.0, 0.290110647376849, 0.6221911510593263, 0.9485212310478187, 0.07042242675203518, 0.25468279860219684, 0.5250878969327659, 0.46287068247100627, 0.47299522283919454]",0
3001,vocal,2,504.325255871,surprised,15,-1.2,"[0.018027719659465313, 0.0, 0.17212969161896652, 0.0, 0.0, 1.0, 0.25316922082350735, 0.0, 0.4037856994153733, 0.27885862922809385, 0.34195816169663407, 0.3709244029865539]",0
3001,vocal,2,504.804629803,surprised,16,-1.2,"[0.018027719659465313, 0.0, 0.17212969161896652, 0.0, 0.0, 1.0, 0.25316922082350735, 0.0, 0.4037856994153733, 0.27885862922809385, 0.34195816169663407, 0.3709244029865539]",0
3001,vocal,2,505.222555876,surprised,17,-1.2,"[0.5289181299849487, 0.7622269309105613, 0.5574595038887614, 0.23214082605065342, 0.3691324964700576, 0.880313519174164, 1.0, 0.217475858455846, 0.0, 0.7187315843041977, 0.007127798325938295, 0.1871460122258961]",0
