uid,snd,run,time,target,generation,logsigma,parvec,submit
3001,abstract,1,21.633562088,happy,3,-1.2,"[0.3913936891916957, 0.10513987125930219, 0.4176563091576556, 0.5385325927917138, 0.6142075995483177, 0.2835353180672726, 0.23452983153623574, 0.1901671871345341, 0.0, 0.6051723793737627, 0.7759853741425099]",0
3001,abstract,1,25.4134750366,happy,8,-1.2,"[0.040055347095924454, 0.0, 0.6449572096265282, 0.35091780175678633, 0.7793485443277299, 0.5060929485561335, 0.3446205944903248, 0.3458084100927907, 0.43091197697902606, 0.19370829211138418, 0.8121014434371467]",0
3001,abstract,1,28.6873669624,happy,10,-1.4,"[0.0719229493490952, 0.0, 0.7952162377358619, 0.3168785674047168, 0.3601340797715854, 0.6452006904943138, 0.6191077047536522, 0.1700617995866423, 0.7365648407148349, 0.0, 0.27941375967879845]",1
3001,abstract,1,28.8001060486,surprised,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,28.9939911366,angry,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.1510820389,afraid,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.3073561192,disgusted,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.4544551373,sad,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.6216831207,calm,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
3001,abstract,1,29.7726631165,neutral,1,-1.4,"[0.5, 0.30000001192092896, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",1
